역명,위도,경도
서울,37.55315,126.972533
시청,37.56359,126.975407
종각,37.570203,126.983116
종로3가,37.570429,126.992095
종로5가,37.570971,127.0019
동대문,37.57179,127.011383
동묘앞,37.573265,127.016459
신설동,37.576117,127.02471
제기동,37.578116,127.034902
청량리,37.580148,127.045063
을지로입구,37.565998,126.982569
을지로3가,37.566292,126.991773
을지로4가,37.566611,126.998122
동대문역사문화공원,37.565597,127.009113
상왕십리,37.564504,127.028872
왕십리,37.561159,127.035505
한양대,37.55658,127.043504
뚝섬,37.54718,127.047413
성수,37.544628,127.055983
건대입구,37.540408,127.069231
구의,37.536857,127.085024
강변,37.535161,127.094684
잠실나루,37.520688,127.103836
잠실,37.513305,127.100129
잠실새내,37.520731,127.103738
종합운동장,37.511008,127.073641
삼성,37.508827,127.063203
선릉,37.504257,127.048174
역삼,37.500658,127.03643
강남,37.497958,127.027539
교대,37.493957,127.014631
서초,37.49191,127.007945
방배,37.481469,126.997627
사당,37.476536,126.981631
낙성대,37.47693,126.963783
서울대입구,37.481233,126.952745
신림,37.484216,126.929573
신대방,37.487534,126.913279
구로디지털단지,37.485005,126.902626
대림,37.492426,126.895293
신도림,37.508815,126.891222
문래,37.517993,126.894766
당산,37.533877,126.902011
합정,37.550025,126.914557
홍대입구,37.556748,126.923643
신촌,37.555153,126.93689
이대,37.556734,126.945897
아현,37.557407,126.956079
충정로,37.559742,126.964455
독립문,37.574534,126.957902
경복궁,37.575844,126.973576
안국,37.576562,126.98547
충무로,37.561302,126.995473
동대입구,37.55816,127.005273
압구정,37.526169,127.028502
고속터미널,37.504953,127.004916
남부터미널,37.48494,127.016289
양재,37.48466,127.03513
대치,37.494601,127.063449
학여울,37.496757,127.070541
노원,37.656274,127.063183
성신여대입구,37.592782,127.017338
한성대입구,37.58838,127.006751
혜화,37.582116,127.001759
명동,37.561055,126.988271
숙대입구,37.545124,126.971952
삼각지,37.535057,126.973354
신용산,37.52919,126.96858
이촌,37.522525,126.97335
총신대입구,37.487521,126.982309
송정,37.561411,126.812052
화곡,37.541585,126.840436
목동,37.526088,126.864296
양평,37.525614,126.886177
영등포시장,37.52276,126.905143
여의도,37.521578,126.924318
마포,37.539718,126.946043
서대문,37.565812,126.966639
광화문,37.570545,126.976568
군자,37.557102,127.079559
광나루,37.545301,127.103478
응암,37.59859,126.915583
연신내,37.618596,126.920519
디지털미디어시티,37.577005,126.898643
월드컵경기장,37.569439,126.899077
마포구청,37.563535,126.903326
망원,37.556031,126.910129
중곡,37.565877,127.084291
청담,37.519097,127.051851
강남구청,37.517185,127.04122
학동,37.514262,127.031738
논현,37.511108,127.021385
반포,37.508171,127.011717
숭실대입구,37.496258,126.953649
상도,37.50279,126.947949
보라매,37.499916,126.920112
가산디지털단지,37.480376,126.882704
석촌,37.505396,127.106995
송파,37.49978,127.11212
